Location,Lesson,Index,Question,Explain,Choice_01,Choice_02,Choice_03,Choice_04,Answer,Commentary
Hotel,1,1,수상안전 유의사항 중 수영을 해도 되는 경우를 고르시오.,,식사 직후,몸이 과열되어 있음,번개가 치는 경우,식사 후 3시간 후,4,
Hotel,1,2,수상안전 유의사항으로 옳은 것은 고르시오.,,항상 다이빙 보드나 플렛폼에서 안전한 거리까지만 수영할 것.,다리의 기둥이나 말뚝 근처에서 수영할 것,튜브 매트리스 등 부유물을 이용해서 수영할 것,많은 사람들이 함께 수영하면 위험하므로 혼자서 수영할 것,1,
Hotel,1,3,수상안전 유의사항으로 옳지 않은 것을 고르시오.,,위급에 처해도 살아날 수 있을 만큼 수영을 충분히 배울 것,자기 능력의 한계를 알고 자기능력을 과대평가하지 말 것.,꼭 필요한 때에만 구조를 요청 할 것,수영을 시작하면 장시간 물속에 있을 것,4,
Hotel,1,4,해변에서의 안전 유의사항으로 옳은 것을 고르시오.,,인명구조원에 의해서 감시되는 지역에서만 수영할 것,인명구조원이 있는 지역이라면 어린아이가 있어도 안심하고 수영할 것,수영에 자신 있는 경우라면 어느 곳에서 뛰어들더라도 괜찮을 것,자신의 실력이 부족하더라도 인명구조원이 있는 경우라면 먼 거리 까지 수영 가능,1,
Hotel,1,5,위급에 처했을 때 자기 구조법으로 옳은 것을 고르시오.,,조류에 휩쓸린 경우 최대한 빠르게 조류를 뚫고 나와야 한다.,조류에 휩쓸린 경우 조류 정면을 향하여 수영해야 빠져 나올 수 있다.,수중에서 경련이 일어나면 영법을 변경한다. 경련이 풀리지 않을 경우에는 문지르거나 주무른다.,갑자기 물에 빠지게 되면 어떠한 경우라도 옷을 벗어 수영에 방해되지 않도록 해야한다.,3,
Hotel,1,6,수중에서 잡초에 얽혔을 때의 자기 구조법으로 옳지 않은 것을 고르시오.,,잡초에 얽혔을 때는 몸부림치거나 빨리 동작을 하여 잡초를 풀어낸다.,조심스럽게 천천히 동작하면 복잡하게 얽히는 것을 피할 수 있다.,다리는 가볍게 폈다 구부리며 잡초를 풀어낸다.,팔은 천천히 움직여 얽힌 풀을 풀도록 한다.,1,
Hotel,1,7,손이 미치지 않는 곳에 조난자가 있을 경우의 구조법으로 옳은 것을 고르시오.,,수영에 자신있는 경우 직접 수영을 해서 구조하도록 한다.,셔츠 수건 옷 나무가지 등을 사용하여 팔을 뻗어 미치는 거리를 연장시킨다.,조난자가 뻗어진 물건을 붙잡으면 최대한 빠르고 강하게 잡아당긴다.,조난자를 빠르게 구하는 것이 중요하므로 구조자는 신경쓰지 않는다.,2,
Hotel,2,1,다음 문장의 빈칸에 들어갈 단어를 고르시오.,환자의 반응을 확인하기 위하여 '눈 좀 떠 보세요' 또는 '여보세요' 하면서 (     )를 잡고 반응을 본다. 반응이 없으면 의식이 없는 것으로 판단하고 도움(119 구급대)을 요청한다.,머리,어깨,팔 ,다리,2,
Hotel,2,2,다음 문장의 빈칸에 들어갈 단어를 고르시오.,흉부압박은 분당 (   )회의 속도로 한다.,30,50,60,100,4,
Hotel,2,3,호흡 유무를 확인하는 과정 중 옳지 않은 방법을 고르시오.,,기도 개방후 환자의 입과 코 가까이에 귀를 대고 환자의 가슴을 본다.,가슴이 오르내리는 것을 확인하면 호흡 확인을 멈춘다.,호흡을 하는 지 들어본다.,코와 입에서 공기가 나오는 지 느껴보는 것을 5초 동안 한다.,2,
Hotel,2,4,흉부 압박 위치를 찾는 방법으로 옳은 것을 고르시오.,,환자의 복부 옆에서 무릎을 가지런히 하여 환자의 가슴을 보며 꿇어앉는다.,환자의 명치위에 손꿈치의 자리를 잡는다.,자리 잡은 손 아래에 다른 손바닥을 펼쳐서 둔다.,손가락이 환자의 가슴에 닿지 않도록 한다.,4,
Hotel,2,5,다음 문장의 빈칸에 들어갈 단어를 고르시오.,흉부 압박은 (   )을 이용하여 (   )으로 힘을 가한다.,팔힘 대각선,체중 대각선,팔힘 수직,체중 수직,4,
Hotel,2,6,다음 문장의 빈칸에 들어갈 단어를 고르시오.,흉부압박 시 흉골을 (   )~(   ) 정도 누른다.,0.5cm 1cm,1cm  2cm,4cm  5cm,10cm  15cm,3,
Hotel,2,7,다음 문장의 빈칸에 들어갈 단어를 고르시오.,흉부압박과 호흡은 (   )회 압박과 2번 불어넣기를 1분에 (   )번 반복한다.,10회 1번,30회 1번,30회 2번,60회 2번,3,
