Location,Lesson,LearningObjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,1. 호텔 체크인 상황에 관련된 표현을 배워봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,2. 연동문에 대하여 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,3. 중국어 숫자 읽는 법에 대해 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,02,1. 예약하지 않은 상황에서의 호텔 체크인과 관련된 표현에 대해 알아봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,02,2. 결과보어에 대해 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,02,3. 동태조사에 대해 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,03,1. 예약신청이 되지 않은 상황에서의 호텔 체크인과 관련된 표현에 대해 알아봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,03,2. 동량사 ‘一下’ 에 대하여 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,1. 모닝콜 상황에 관련된 표현에 대해 알아봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,2. 조동사 ‘会’ 에 대하여 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,1. 호텔에서의 환전에 관련된 표현에 대해 알아봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,2. ‘把 자문’ 에 대하여 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,1. 호텔에서의 체크아웃에 관련된 표현에 대해 알아봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,2. 조동사 ‘可以’ 에 대하여 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,3. 전치사 ‘在’ 에 대해 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,1. 요금이 잘못 청구된 상황에서의 호텔 체크아웃에 관련된 표현에 대해 알아봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,2. 가능보어 대하여 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,3. ‘按’ 의 여러가지 용법에 대하여 확실하게 배웁니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,1. 음식주문에 관련된 표현에 대해 알아봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,2. 부사 ‘还’의 여러 가지 쓰임에 대해 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,08,3. 명사적 성격을 지닌 '的’에 대해 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,1. 항공표 구매에 관련된 표현에 대해 알아봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,2. ‘帮助’ 와 ‘帮忙’ 의 차이에 대해 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,01,3. 이합동사와 일반동사의 차이점에 대해 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,02,1. 항공표 좌석구매에 관련된 표현에 대해 알아봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,02,2. ‘靠’ 의 여러 가지 용법에 대해 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,03,1. 공항에서 수하물을 부치는 상황에 관련된 표현에 대해 알아봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,03,2. 구조조사 ‘的’ 의 용법에 대해 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,03,3. 동사 ‘拿’ 의 여러 가지 쓰임에 대해 확실하게 익힙니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,04,1. 세관 통과에 관련된 표현에 대해 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,04,2. 동량사 ‘一下’ 의 용법에 대해 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,04,3. 이합동사와 일반동사의 차이점에 대해 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,05,1. 선물 구매에 관련된 표현에 대해 알아봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,05,2. 의문대사 ‘几’ 와 ‘多少’ 의 차이점을 알아봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,05,3. '是〜吗?' 와 ‘不是〜吗?’ 에 대해 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,06,1. 기내에서 발생되는 상황에 관련된 표현에 대해 알아봅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,06,2. ‘给’의 여러 가지 용법에 대해 확실하게 익힙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
